,region,cpu on-demand,cpu preemptible,cpu 1-year,cpu 3-year,mem on-demand,mem preemptible,mem 1-year,mem 3-year
0,us-central1,0.031611,0.006655,0.019915,0.014225,0.004237,0.000892,0.002669,0.001907
1,us-west1,0.031611,0.006655,0.019915,0.014225,0.004237,0.000892,0.002669,0.001907
2,us-west2,0.03797,0.007986,0.023921,0.017087,0.005089,0.001076,0.003206,0.00229
3,us-west3,0.03797,0.007986,0.023921,0.017087,0.005089,0.001076,0.003206,0.00229
4,us-west4,0.035605,0.00712085,0.021309,0.015221,0.004771,0.00095444,0.002856,0.00204
5,us-east4,0.035605,0.00712085,0.021309,0.015221,0.004771,0.00095444,0.002856,0.00204
6,us-east1,0.031611,0.006655,0.019915,0.014225,0.004237,0.000892,0.002669,0.001907
7,northamerica-northeast1,0.0347721,0.007325,0.021925,0.015661,0.00444885,0.000987,0.002938,0.002099
8,southamerica-east1,0.05018,0.010038,0.03162,0.0225855,0.006725,0.001346,0.004239,0.0030281
9,europe-west1,0.034773,0.00732,0.021907,0.015648,0.004661,0.000981,0.002936,0.002097
10,europe-north1,0.034806,0.00732,0.021925,0.015661,0.004664,0.000981,0.002938,0.002099
11,europe-west2,0.04073,0.00815,0.025636,0.0183114,0.005458,0.00109,0.003435,0.0024539
12,europe-west3,0.04073,0.00815,0.025636,0.0183114,0.005458,0.00109,0.003435,0.0024539
13,europe-west4,0.0347721,0.007325,0.021925,0.015661,0.0046607,0.000987,0.002938,0.002099
14,europe-west6,0.044231,0.009309,0.027866,0.019904,0.005928,0.001254,0.003735,0.002668
15,asia-south1,0.03797,0.006655,0.023919,0.017085,0.004237,0.000892,0.003205,0.00229
16,asia-southeast1,0.038999,0.0078,0.024567,0.017548,0.005226,0.00105,0.003292,0.002352
17,asia-southeast2,0.0425089,0.008502,0.026778,0.0191273,0.0056963,0.0011391,0.0035883,0.0025637
18,australia-southeast1,0.044856,0.00898,0.028274,0.020196,0.006011,0.0012,0.003786,0.0027045
19,asia-east1,0.036602,0.00732,0.023059,0.016471,0.004906,0.000981,0.003091,0.002208
20,asia-east2,0.044231,0.009309,0.027866,0.019904,0.005928,0.001254,0.003735,0.002668
21,asia-northeast1,0.040618,0.00883,0.025589,0.018278,0.005419,0.001178,0.003414,0.002438
22,asia-northeast2,0.040618,0.00883,0.025589,0.018278,0.005419,0.001178,0.003414,0.002438
23,asia-northeast3,0.040618,0.00883,0.025589,0.018278,0.005419,0.001178,0.003414,0.002438
